,id,country_id,season,stage,date,hometeam_id,awayteam_id,home_goal,away_goal
0,757,1,2011/2012,1,2011-07-29 00:00:00+00:00,1773,8635,2,1
1,758,1,2011/2012,1,2011-07-30 00:00:00+00:00,9998,9985,1,1
2,759,1,2011/2012,1,2011-07-30 00:00:00+00:00,9987,9993,3,1
3,760,1,2011/2012,1,2011-07-30 00:00:00+00:00,9991,9984,0,1
4,761,1,2011/2012,1,2011-07-30 00:00:00+00:00,9994,10000,0,0
5,762,1,2011/2012,1,2011-07-30 00:00:00+00:00,8571,9989,1,1
6,763,1,2011/2012,1,2011-07-30 00:00:00+00:00,8203,9997,2,1
7,764,1,2011/2012,1,2011-07-31 00:00:00+00:00,8342,10001,5,0
8,765,1,2011/2012,10,2011-10-16 00:00:00+00:00,8342,9991,2,0
9,766,1,2011/2012,10,2011-10-16 00:00:00+00:00,8635,9985,5,0
10,767,1,2011/2012,10,2011-10-15 00:00:00+00:00,9997,9993,2,4
11,768,1,2011/2012,10,2011-10-15 00:00:00+00:00,10000,9989,1,2
12,769,1,2011/2012,10,2011-10-15 00:00:00+00:00,1773,10001,1,1
13,770,1,2011/2012,10,2011-10-15 00:00:00+00:00,9994,9987,3,1
14,771,1,2011/2012,10,2011-10-15 00:00:00+00:00,8203,9984,1,2
15,772,1,2011/2012,10,2011-10-15 00:00:00+00:00,9998,8571,3,1
16,773,1,2011/2012,11,2011-10-23 00:00:00+00:00,9985,10000,1,0
17,774,1,2011/2012,11,2011-10-22 00:00:00+00:00,9987,9998,2,0
18,775,1,2011/2012,11,2011-10-22 00:00:00+00:00,9991,9994,3,1
19,776,1,2011/2012,11,2011-10-22 00:00:00+00:00,9993,8203,2,2
20,777,1,2011/2012,11,2011-10-23 00:00:00+00:00,8571,8342,2,1
21,778,1,2011/2012,11,2011-10-22 00:00:00+00:00,9989,9997,0,2
22,779,1,2011/2012,11,2011-10-23 00:00:00+00:00,10001,8635,1,2
23,780,1,2011/2012,11,2011-10-22 00:00:00+00:00,9984,1773,2,0
24,781,1,2011/2012,12,2011-10-29 00:00:00+00:00,8342,9987,4,5
25,782,1,2011/2012,12,2011-10-30 00:00:00+00:00,8635,9989,4,0
26,783,1,2011/2012,12,2011-10-30 00:00:00+00:00,9997,9985,1,1
27,784,1,2011/2012,12,2011-10-29 00:00:00+00:00,10000,9984,1,1
28,785,1,2011/2012,12,2011-10-29 00:00:00+00:00,1773,9993,3,2
29,786,1,2011/2012,12,2011-10-29 00:00:00+00:00,9994,8571,1,4
30,787,1,2011/2012,12,2011-10-29 00:00:00+00:00,8203,10001,1,0
31,788,1,2011/2012,12,2011-10-29 00:00:00+00:00,9998,9991,1,1
32,789,1,2011/2012,13,2011-11-06 00:00:00+00:00,9985,8342,2,1
33,790,1,2011/2012,13,2011-11-05 00:00:00+00:00,9987,8571,2,2
34,791,1,2011/2012,13,2011-11-04 00:00:00+00:00,9991,8203,6,2
35,792,1,2011/2012,13,2011-11-05 00:00:00+00:00,9993,9998,2,0
36,793,1,2011/2012,13,2011-11-05 00:00:00+00:00,10000,9997,0,0
37,794,1,2011/2012,13,2011-11-05 00:00:00+00:00,9989,1773,3,1
38,795,1,2011/2012,13,2011-11-05 00:00:00+00:00,10001,9994,2,4
39,796,1,2011/2012,13,2011-11-06 00:00:00+00:00,9984,8635,1,0
40,797,1,2011/2012,14,2011-11-20 00:00:00+00:00,8342,9984,1,0
41,798,1,2011/2012,14,2011-11-20 00:00:00+00:00,8635,9997,3,1
42,799,1,2011/2012,14,2011-11-19 00:00:00+00:00,9987,10001,3,0
43,800,1,2011/2012,14,2011-11-18 00:00:00+00:00,1773,9985,1,3
44,801,1,2011/2012,14,2011-11-19 00:00:00+00:00,9994,9993,1,1
45,802,1,2011/2012,14,2011-11-19 00:00:00+00:00,8571,9991,0,4
46,803,1,2011/2012,14,2011-11-19 00:00:00+00:00,8203,10000,1,1
47,804,1,2011/2012,14,2011-11-19 00:00:00+00:00,9998,9989,2,1
48,805,1,2011/2012,15,2011-11-25 00:00:00+00:00,9985,8203,3,2
49,806,1,2011/2012,15,2011-11-27 00:00:00+00:00,9991,9987,2,0
50,807,1,2011/2012,15,2011-11-26 00:00:00+00:00,9993,8571,0,1
51,808,1,2011/2012,15,2011-11-26 00:00:00+00:00,9997,1773,2,1
52,809,1,2011/2012,15,2011-11-26 00:00:00+00:00,10000,8635,2,3
53,810,1,2011/2012,15,2011-11-26 00:00:00+00:00,9989,8342,0,1
54,811,1,2011/2012,15,2011-11-26 00:00:00+00:00,10001,9998,2,1
55,812,1,2011/2012,15,2011-11-26 00:00:00+00:00,9984,9994,1,1
56,813,1,2011/2012,16,2011-12-04 00:00:00+00:00,8635,1773,0,0
57,814,1,2011/2012,16,2011-12-04 00:00:00+00:00,9985,9991,0,0
58,815,1,2011/2012,16,2011-12-02 00:00:00+00:00,9993,9987,2,0
59,816,1,2011/2012,16,2011-12-03 00:00:00+00:00,9997,9998,2,3
60,817,1,2011/2012,16,2011-12-03 00:00:00+00:00,10000,9994,1,1
61,818,1,2011/2012,16,2011-12-03 00:00:00+00:00,9989,8203,2,2
62,819,1,2011/2012,16,2011-12-03 00:00:00+00:00,10001,8342,0,1
63,820,1,2011/2012,16,2011-12-03 00:00:00+00:00,9984,8571,1,2
64,821,1,2011/2012,17,2011-12-11 00:00:00+00:00,8342,9997,1,0
65,822,1,2011/2012,17,2011-12-10 00:00:00+00:00,9987,9989,4,0
66,823,1,2011/2012,17,2011-12-10 00:00:00+00:00,1773,10000,2,2
67,824,1,2011/2012,17,2011-12-10 00:00:00+00:00,9994,9985,1,1
68,825,1,2011/2012,17,2011-12-10 00:00:00+00:00,8571,10001,1,0
69,826,1,2011/2012,17,2011-12-09 00:00:00+00:00,8203,8635,2,1
70,827,1,2011/2012,17,2011-12-10 00:00:00+00:00,9998,9984,0,2
71,828,1,2011/2012,17,2011-12-10 00:00:00+00:00,9991,9993,0,1
72,829,1,2011/2012,18,2011-12-18 00:00:00+00:00,8635,9994,3,2
73,830,1,2011/2012,18,2011-12-18 00:00:00+00:00,9985,9987,0,0
74,831,1,2011/2012,18,2011-12-17 00:00:00+00:00,9997,8203,0,0
75,832,1,2011/2012,18,2011-12-17 00:00:00+00:00,10000,9998,2,3
76,833,1,2011/2012,18,2011-12-18 00:00:00+00:00,1773,8342,3,1
77,834,1,2011/2012,18,2011-12-17 00:00:00+00:00,9989,8571,2,0
78,835,1,2011/2012,18,2011-12-17 00:00:00+00:00,10001,9993,3,1
79,836,1,2011/2012,18,2011-12-18 00:00:00+00:00,9984,9991,0,1
80,837,1,2011/2012,19,2011-12-26 00:00:00+00:00,8342,10000,1,0
